Time,Data
4553,3811
4554,3817
4555,3808
4556,3811
4557,3813
4558,3813
4559,3802
4560,3805
4561,3802
4562,3799
4563,3799
4564,3800
4565,3801
4566,3796
4567,3797
4568,3797
4569,3800
4570,3797
4571,3788
4572,3789
4573,3789
4574,3802
4575,3789
4576,3786
4577,3790
4578,3790
4579,3789
4580,3791
4581,3781
4582,3787
4583,3787
4584,3779
4585,3775
4586,3772
4587,3772
4588,3774
4589,3781
4590,3784
4591,3777
4592,3777
4593,3773
4594,3765
4595,3772
4596,3775
4597,3775
4598,3757
4599,3769
4600,3786
4601,3773
4602,3773
4603,3771
4604,3773
4605,3775
4606,3768
4607,3768
4608,3754
4609,3767
4610,3776
4611,3782
4612,3782
4613,3778
4614,3777
4615,3754
4616,3755
4617,3755
4618,3768
4619,3757
4620,3760
4621,3768
4622,3768
4623,3765
4624,3772
4625,3754
4626,3765
4627,3765
4628,3777
4629,3761
4630,3773
4631,3773
4632,3769
4633,3767
4634,3783
4635,3769
4636,3769
4637,3763
4638,3772
4639,3759
4640,3769
4641,3769
4642,3769
4643,3762
4644,3769
4645,3767
4646,3767
4647,3773
4648,3779
4649,3773
4650,3760
4651,3760
4652,3775
4653,3768
4654,3770
4655,3768
4656,3768
4657,3772
4658,3770
4659,3759
4660,3772
4661,3772
4662,3771
4663,3763
4664,3761
4665,3766
4666,3766
4667,3771
4668,3768
4669,3758
4670,3760
4671,3760
4672,3765
4673,3769
4674,3759
4675,3759
4676,3763
4677,3756
4678,3772
4679,3781
4680,3781
4681,3765
4682,3761
4683,3768
4684,3771
4685,3771
4686,3765
4687,3763
4688,3763
4689,3765
4690,3765
4691,3779
4692,3746
4693,3768
4694,3773
4695,3773
4696,3762
4697,3764
4698,3764
4699,3755
4700,3755
4701,3766
4702,3770
4703,3769
4704,3767
4705,3767
4706,3769
4707,3766
4708,3771
4709,3766
4710,3766
4711,3777
4712,3776
4713,3773
4714,3770
4715,3770
4716,3773
4717,3774
4718,3775
4719,3775
4720,3779
4721,3770
4722,3775
4723,3778
4724,3778
4725,3786
4726,3778
4727,3783
4728,3778
4729,3778
4730,3769
4731,3787
4732,3778
4733,3786
4734,3786
4735,3790
4736,3781
4737,3783
4738,3787
4739,3787
4740,3792
4741,3784
4742,3780
4743,3789
4744,3789
4745,3792
4746,3798
4747,3785
4748,3793
4749,3793
4750,3788
4751,3793
4752,3801
4753,3790
4754,3790
4755,3791
4756,3798
4757,3792
4758,3792
4759,3803
4760,3795
4761,3795
4762,3795
4763,3795
4764,3789
4765,3788
4766,3803
4767,3794
4768,3794
4769,3795
4770,3801
4771,3788
4772,3797
4773,3797
4774,3797
4775,3797
4776,3802
4777,3788
4778,3788
4779,3792
4780,3794
4781,3807
4782,3802
4783,3802
4784,3797
4785,3798
4786,3806
4787,3801
4788,3801
4789,3802
4790,3802
4791,3791
4792,3802
4793,3802
4794,3802
4795,3796
4796,3805
4797,3802
4798,3802
4799,3800
4800,3808
4801,3801
4802,3801
4803,3807
4804,3800
4805,3818
4806,3801
4807,3801
4808,3814
4809,3806
4810,3806
4811,3806
4812,3806
4813,3810
4814,3805
4815,3804
4816,3806
4817,3806
4818,3811
4819,3819
4820,3804
4821,3801
4822,3801
4823,3800
4824,3798
4825,3815
4826,3806
4827,3806
4828,3795
4829,3798
4830,3790
4831,3795
4832,3795
4833,3793
4834,3789
4835,3788
4836,3789
4837,3789
4838,3793
4839,3780
4840,3783
4841,3780
4842,3780
4843,3780
4844,3772
4845,3772
4846,3772
4847,3767
4848,3780
4849,3779
4850,3767
4851,3767
4852,3764
4853,3769
4854,3768
4855,3756
4856,3756
4857,3760
4858,3754
4859,3754
4860,3742
4861,3742
4862,3753
4863,3749
4864,3744
4865,3734
4866,3734
4867,3751
4868,3749
4869,3731
4870,3741
4871,3741
4872,3745
4873,3742
4874,3747
4875,3736
4876,3736
4877,3737
4878,3743
4879,3734
4880,3742
4881,3742
4882,3733
4883,3744
4884,3737
4885,3740
4886,3740
4887,3738
4888,3747
4889,3736
4890,3736
4891,3731
4892,3732
4893,3733
4894,3732
4895,3732
4896,3729
4897,3724
4898,3739
4899,3739
4900,3739
4901,3736
4902,3726
4903,3731
4904,3736
4905,3736
4906,3729
4907,3717
4908,3722
4909,3737
4910,3737
4911,3738
4912,3729
4913,3728
4914,3734
4915,3734
4916,3727
4917,3727
4918,3723
4919,3728
4920,3728
4921,3728
4922,3729
4923,3731
4924,3725
4925,3725
4926,3730
4927,3726
4928,3742
4929,3725
4930,3725
4931,3717
4932,3724
4933,3724
4934,3724
4935,3727
4936,3724
4937,3734
4938,3729
4939,3729
4940,3733
4941,3723
4942,3743
4943,3741
4944,3741
4945,3727
4946,3730
4947,3736
4948,3733
4949,3733
4950,3731
4951,3735
4952,3737
4953,3741
4954,3741
4955,3732
4956,3743
4957,3741
4958,3727
4959,3727
4960,3739
4961,3735
4962,3742
4963,3747
4964,3747
4965,3743
4966,3737
4967,3747
4968,3741
4969,3741
4970,3736
4971,3749
4972,3739
4973,3739
4974,3739
4975,3738
4976,3745
4977,3741
4978,3741
4979,3739
4980,3741
4981,3748
4982,3743
4983,3743
4984,3736
4985,3735
4986,3738
4987,3744
4988,3744
4989,3748
4990,3742
4991,3744
4992,3741
4993,3741
4994,3745
4995,3747
4996,3741
4997,3741
4998,3741
4999,3743
5000,3739
5001,3749
5002,3747
5003,3747
5004,3750
5005,3756
5006,3757
5007,3757
5008,3757
5009,3750
5010,3752
5011,3746
5012,3757
5013,3757
5014,3755
5015,3761
5016,3757
5017,3750
5018,3750
5019,3759
5020,3750
5021,3753
5022,3753
5023,3751
5024,3754
5025,3758
5026,3754
5027,3754
5028,3756
5029,3757
5030,3753
5031,3751
5032,3751
5033,3765
5034,3751
5035,3755
5036,3747
5037,3747
5038,3766
5039,3752
5040,3760
5041,3757
5042,3757
5043,3755
5044,3761
5045,3752
5046,3750
5047,3750
5048,3756
5049,3762
5050,3754
